Time Step, x CoM, y CoM, z CoM
4410000, 0.122582, -0.193906, 7.256827
4420000, 0.034319, 0.130495, 7.308229
4430000, 0.166416, -0.006451, 7.420058
4440000, 0.117456, -0.056730, 7.942753
4450000, 0.022160, -0.143425, 7.859213
4460000, 0.121890, -0.013005, 8.171035
4470000, 0.188255, 0.043856, 7.619643
4480000, 0.001285, -0.010185, 7.780296
4490000, 0.036878, -0.003432, 7.601618
4500000, -0.042625, -0.094594, 7.224720
4510000, -0.144640, -0.049869, 7.270754
4520000, -0.014162, -0.199604, 7.588836
4530000, -0.053688, -0.030839, 8.014931
4540000, 0.003047, -0.002186, 7.358978
4550000, -0.011165, 0.148903, 7.896138
4560000, -0.002320, -0.147050, 7.596715
4570000, -0.117590, -0.045623, 7.405405
4580000, 0.055891, -0.087179, 7.651490
4590000, 0.021661, 0.061197, 8.045631
4600000, -0.096901, -0.023455, 7.605229
4610000, -0.052926, -0.112946, 7.389163
4620000, 0.000821, -0.142240, 7.433253
4630000, -0.005991, -0.093854, 7.482809
4640000, -0.063089, -0.089837, 7.987433
4650000, 0.123794, 0.015260, 7.559894
4660000, 0.024860, -0.140271, 8.120453
4670000, 0.035068, -0.137344, 7.536762
4680000, 0.133174, -0.063309, 7.091803
4690000, 0.119980, -0.226459, 7.546652
4700000, -0.017042, -0.079784, 7.212217
4710000, -0.059545, -0.017752, 7.424892
4720000, -0.027479, 0.039042, 7.600215
4730000, 0.090395, -0.005011, 7.666116
4740000, 0.114539, -0.018556, 7.177231
4750000, 0.127638, 0.016888, 7.549881
4760000, 0.169825, 0.126036, 7.455232
4770000, 0.075829, 0.021186, 7.528385
4780000, 0.085990, 0.036937, 7.161097
4790000, 0.211822, 0.016979, 7.133908
4800000, -0.092619, -0.109785, 7.624342
4810000, -0.027183, 0.039243, 7.428926
4820000, 0.073347, 0.030833, 7.180315
4830000, 0.049348, -0.042509, 7.323293
4840000, 0.082785, -0.076164, 7.333564
4850000, -0.030367, 0.030369, 7.691548
4860000, -0.134243, -0.119450, 7.504315
4870000, 0.041283, -0.057987, 7.922941
4880000, 0.173796, 0.006311, 7.868263
4890000, 0.110198, 0.093291, 7.697188
4900000, 0.080921, -0.103568, 7.911142
4910000, 0.004607, -0.118512, 8.009912
4920000, 0.040172, -0.008674, 7.285578
4930000, 0.131449, 0.020426, 7.682426
4940000, -0.003671, 0.121897, 7.860283
4950000, 0.185198, -0.056340, 6.953793
4960000, -0.073936, -0.003082, 7.174097
4970000, -0.040973, -0.028111, 7.068132
4980000, 0.054140, -0.022060, 7.691701
4990000, -0.058931, -0.013410, 7.570786
5000000, 0.042262, -0.040897, 7.432270
5010000, 0.105989, -0.203044, 7.840145
5020000, -0.011979, 0.084271, 7.718533
5030000, 0.050237, -0.060998, 7.644847
5040000, 0.013297, -0.024499, 7.888240
5050000, 0.002526, 0.111088, 7.767196
5060000, -0.041490, -0.045060, 7.642594
5070000, -0.009051, -0.006236, 7.388679
5080000, -0.021874, 0.059032, 7.889792
5090000, 0.015728, -0.065800, 7.892667
5100000, 0.092212, 0.031795, 7.347535
5110000, 0.100944, 0.035578, 7.147875
5120000, -0.017341, -0.013549, 7.400007
5130000, -0.054512, 0.001628, 7.248472
5140000, -0.022914, 0.029020, 7.322294
5150000, 0.010188, 0.059413, 7.287500
5160000, -0.087692, -0.016612, 7.559569
5170000, -0.014316, -0.138304, 7.483442
5180000, -0.099164, -0.117658, 7.651215
5190000, -0.143966, -0.096445, 7.648883
5200000, 0.107997, 0.010581, 7.557286
5210000, 0.034700, -0.073999, 7.675161
5220000, 0.041656, -0.124462, 7.224668
5230000, -0.038112, 0.034127, 7.511597
5240000, 0.065206, -0.124691, 7.167058
5250000, -0.240885, -0.027818, 7.704864
5260000, -0.044571, 0.000466, 7.508924
5270000, -0.037397, -0.026195, 7.832137
5280000, -0.102449, 0.063685, 7.100263
5290000, -0.027433, -0.264712, 7.192199
5300000, 0.148412, 0.013848, 7.969882
5310000, 0.016292, 0.012418, 7.753415
5320000, 0.148318, -0.106461, 7.478002
5330000, -0.131166, -0.177177, 7.539459
5340000, -0.295286, 0.012873, 6.627690
5350000, 0.042873, 0.143434, 7.211224
5360000, -0.066194, 0.186090, 7.334037
5370000, -0.147141, 0.179229, 7.556987
5380000, 0.018073, 0.122575, 7.643569
5390000, -0.161977, 0.050535, 6.879459
5400000, -0.115405, 0.158284, 7.351851
5410000, 0.004408, -0.159775, 6.596991
5420000, -0.164177, -0.044527, 7.306655
5430000, -0.079129, -0.006944, 7.338339
5440000, -0.079392, -0.190017, 8.015150
5450000, -0.015641, 0.131346, 7.436796
5460000, 0.108037, 0.050635, 8.054024
5470000, 0.071831, 0.018933, 7.331769
5480000, -0.061808, -0.037298, 7.073576
5490000, -0.012357, -0.057626, 7.810687
5500000, 0.157152, -0.056264, 7.387099
5510000, 0.124546, -0.092537, 7.266540
5520000, 0.003107, 0.162367, 7.652511
5530000, 0.044821, -0.072445, 6.902229
5540000, 0.095687, -0.012384, 7.627404
5550000, -0.020452, -0.023377, 7.702630
5560000, 0.084245, 0.015096, 7.215161
5570000, -0.069199, 0.102201, 7.599082
5580000, -0.042295, 0.128031, 7.402995
5590000, 0.014803, 0.068725, 8.165982
5600000, -0.120405, -0.148078, 7.322835
5610000, -0.025866, -0.021255, 7.642798
5620000, -0.027751, -0.104985, 7.960678
5630000, -0.139111, -0.123989, 7.276845
5640000, 0.091013, 0.011157, 7.662491
5650000, 0.306375, 0.034941, 7.142851
5660000, 0.206757, -0.007176, 6.800602
5670000, -0.058332, -0.060841, 7.503907
5680000, -0.147864, -0.093490, 7.413886
5690000, -0.078256, -0.046561, 7.422737
5700000, -0.159164, 0.064190, 7.594724
5710000, -0.226005, 0.011258, 7.052474
5720000, 0.016124, 0.078683, 7.334007
5730000, -0.019649, 0.001450, 7.262842
5740000, 0.013379, 0.100475, 7.909814
5750000, 0.016470, 0.037389, 7.400651
5760000, -0.010067, -0.013916, 7.686596
5770000, 0.029522, -0.012875, 7.575064
5780000, 0.012228, 0.004836, 7.339549
5790000, -0.015244, -0.192218, 7.814033
5800000, 0.091405, 0.078940, 6.998521
5810000, 0.135832, -0.059042, 7.265033
5820000, 0.046516, 0.053943, 7.689034
5830000, 0.028634, 0.051247, 7.480010
5840000, -0.044425, -0.009290, 8.316267
5850000, -0.017259, 0.018534, 7.260636
5860000, 0.068142, -0.045828, 7.239618
5870000, -0.066466, -0.001382, 7.686170
5880000, -0.039587, 0.096016, 7.449655
5890000, -0.103258, 0.143527, 8.053613
5900000, -0.131862, 0.091466, 7.357339
5910000, -0.095373, 0.044741, 7.811224
5920000, 0.081337, -0.074583, 7.823483
5930000, -0.066389, 0.009515, 7.453757
