Time Step, x CoM, y CoM, z CoM
15200000, 0.397739, 0.685613, 0.000001
15204000, 0.342239, 0.616686, 0.000000
15208000, 0.219317, 0.820673, -0.000000
15212000, 0.144341, 0.832754, 0.000001
15216000, 0.041348, 0.890317, 0.000002
15220000, -0.333070, 0.805967, 0.000000
15224000, -0.234888, 0.676474, -0.000000
15228000, -0.360863, 0.622413, -0.000001
15232000, -0.392925, 0.528840, 0.000000
15236000, -0.383108, 0.480661, 0.000001
15240000, -0.398458, 0.387203, 0.000001
15244000, -0.584883, 0.286148, -0.000001
15248000, -0.530064, 0.357960, 0.000001
15252000, -0.676352, 0.457479, -0.000001
15256000, -0.415865, 0.230325, -0.000002
15260000, -0.553255, 0.253511, -0.000000
15264000, -0.610045, 0.263183, -0.000001
15268000, -0.270668, 0.217917, -0.000000
15272000, -0.302451, -0.015962, -0.000000
15276000, -0.331766, 0.040263, -0.000000
15280000, -0.214321, 0.148779, -0.000001
15284000, -0.277179, 0.246635, 0.000001
15288000, -0.517731, 0.250389, -0.000001
15292000, -0.487590, 0.362874, -0.000001
15296000, -0.571335, 0.346055, -0.000002
15300000, -0.529738, 0.424255, 0.000000
15304000, -0.680588, 0.519073, -0.000001
15308000, -0.666957, 0.527289, 0.000001
15312000, -0.423403, 0.696179, -0.000002
15316000, -0.538263, 0.771920, -0.000001
15320000, -0.421491, 0.719696, -0.000001
15324000, -0.562308, 0.552978, 0.000000
15328000, -0.419615, 0.413914, -0.000001
15332000, -0.376975, 0.599017, 0.000001
15336000, -0.358101, 0.496111, 0.000001
15340000, -0.437988, 0.739012, -0.000001
15344000, -0.142908, 0.737779, -0.000002
15348000, -0.292604, 0.717279, 0.000001
15352000, -0.276225, 0.878873, 0.000002
15356000, -0.395413, 0.762324, 0.000000
15360000, -0.502234, 0.729023, -0.000002
15364000, -0.566455, 0.615167, -0.000001
15368000, -0.465814, 0.517628, -0.000003
15372000, -0.622836, 0.261840, -0.000001
15376000, -0.486535, 0.409441, 0.000002
15380000, -0.590231, 0.529213, -0.000001
15384000, -0.256346, 0.323613, -0.000000
15388000, -0.171262, 0.372560, -0.000000
15392000, -0.419250, 0.253907, 0.000001
